,date,n
1,1/1/15,76
2,2/1/15,77
3,3/1/15,92
4,4/1/15,84
5,5/1/15,71
6,6/1/15,65
7,7/1/15,104
8,8/1/15,94
9,9/1/15,82
10,10/1/15,84
11,11/1/15,77
12,12/1/15,88
13,1/1/16,81
14,2/1/16,86
15,3/1/16,92
16,4/1/16,73
17,5/1/16,74
18,6/1/16,92
19,7/1/16,72
20,8/1/16,82
21,9/1/16,78
22,10/1/16,77
23,11/1/16,77
24,12/1/16,78
25,1/1/17,92
26,2/1/17,100
27,3/1/17,76
28,4/1/17,67
29,5/1/17,74
30,6/1/17,84
31,7/1/17,94
32,8/1/17,82
33,9/1/17,70
34,10/1/17,85
35,11/1/17,84
36,12/1/17,78
37,1/1/18,99
38,2/1/18,80
39,3/1/18,109
40,4/1/18,98
41,5/1/18,83
42,6/1/18,81
43,7/1/18,89
44,8/1/18,74
45,9/1/18,55
46,10/1/18,75
47,11/1/18,77
48,12/1/18,71
49,1/1/19,94
50,2/1/19,72
51,3/1/19,88
52,4/1/19,71
53,5/1/19,74
54,6/1/19,86
55,7/1/19,80
56,8/1/19,86
57,9/1/19,78
58,10/1/19,90
59,11/1/19,77
60,12/1/19,106
61,1/1/20,89
62,2/1/20,80
63,3/1/20,94
64,4/1/20,77
65,5/1/20,110
66,6/1/20,31
