date,search_count,shooting_count
1/1/15,18,76
2/1/15,21,77
3/1/15,20,92
4/1/15,36,84
5/1/15,8,71
6/1/15,11,65
7/1/15,5,104
8/1/15,16,94
9/1/15,8,82
10/1/15,17,84
11/1/15,10,77
12/1/15,20,88
1/1/16,16,81
2/1/16,10,86
3/1/16,16,92
4/1/16,6,73
5/1/16,12,74
6/1/16,6,92
7/1/16,100,72
8/1/16,20,82
9/1/16,35,78
10/1/16,22,77
11/1/16,12,77
12/1/16,9,78
1/1/17,7,92
2/1/17,14,100
3/1/17,11,76
4/1/17,8,67
5/1/17,9,74
6/1/17,20,84
7/1/17,18,94
8/1/17,8,82
9/1/17,9,70
10/1/17,7,85
11/1/17,9,84
12/1/17,7,78
1/1/18,9,99
2/1/18,10,80
3/1/18,3,109
4/1/18,7,98
5/1/18,14,83
6/1/18,11,81
7/1/18,22,89
8/1/18,15,74
9/1/18,19,55
10/1/18,14,75
11/1/18,4,77
12/1/18,6,71
1/1/19,16,94
2/1/19,15,72
3/1/19,14,88
4/1/19,5,71
5/1/19,18,74
6/1/19,15,86
7/1/19,17,80
8/1/19,5,86
9/1/19,10,78
10/1/19,13,90
11/1/19,12,77
12/1/19,7,106
1/1/20,6,89
2/1/20,2,80
3/1/20,7,94
4/1/20,7,77
5/1/20,16,110
