state,id,Pop,Poverty Rate ,Median Home Value ,Mean Household Income ,per mil
AK,39,734002.0,0.1061,265200.0,96499.0,53.13337020880052
AL,104,4908620.0,0.16899999999999998,137200.0,67243.0,21.18721758865017
AR,83,3039000.0,0.1679,123300.0,64272.0,27.311615663047053
AZ,254,7378490.0,0.14800000000000002,209600.0,77221.0,34.42438764571071
CA,799,39937500.0,0.1374,475900.0,101493.0,20.00625978090767
CO,195,5845530.0,0.101,313600.0,92520.0,33.35882289544318
CT,21,3563080.0,0.0978,272700.0,109693.0,5.893777293801992
DC,13,720687.0,0.1519,568400.0,121698.0,18.03834396901845
DE,13,982895.0,0.1117,244700.0,86962.0,13.226234745318676
FL,350,21993000.0,0.1357,196800.0,76652.0,15.914154503705724
GA,182,10736100.0,0.1497,166800.0,78574.0,16.952152085021563
HI,30,1412690.0,0.0973,587700.0,99765.0,21.236081518238255
IA,32,3179850.0,0.1112,142300.0,75951.0,10.063367768919917
ID,42,1826160.0,0.1253,192300.0,70620.0,22.999080036798528
IL,104,12659700.0,0.1292,187200.0,88857.0,8.215044590314147
IN,95,6745350.0,0.1347,135400.0,71912.0,14.08377623103323
KS,50,2910360.0,0.1204,145400.0,77509.0,17.180005222721586
KY,95,4499690.0,0.1716,135300.0,67110.0,21.112565532292226
LA,109,4645180.0,0.1891,157800.0,68823.0,23.46518326523407
MA,35,6976600.0,0.1018,366800.0,106627.0,5.016770346587163
MD,79,6083120.0,0.091,305500.0,107482.0,12.98675679585476
ME,22,1345790.0,0.1202,184500.0,73210.0,16.347275577913344
MI,78,10045000.0,0.145,146200.0,75352.0,7.765057242409159
MN,61,5700670.0,0.096,211800.0,90600.0,10.700496608293411
MO,141,6169270.0,0.1358,151600.0,73145.0,22.85521625735298
MS,65,2989260.0,0.2006,114500.0,60640.0,21.744512019697183
MT,31,1086760.0,0.128,219600.0,70959.0,28.525157348448598
NC,156,10611900.0,0.1436,165900.0,73753.0,14.70047776552738
ND,11,761723.0,0.1041,185000.0,84043.0,14.440945067957776
NE,24,1952570.0,0.1095,147800.0,77278.0,12.291492750580005
NH,13,1371250.0,0.0746,252800.0,95876.0,9.480401093892434
NJ,68,8936570.0,0.1012,327900.0,110140.0,7.609183389152662
NM,106,2096640.0,0.1957,166800.0,66565.0,50.55708180708181
NV,96,3139660.0,0.1253,242400.0,77319.0,30.576559245268594
NY,101,19440500.0,0.1439,302200.0,97424.0,5.195339626038425
OH,155,11747700.0,0.1401,140000.0,74109.0,13.194072031120985
OK,164,3954820.0,0.1537,130900.0,70262.0,41.46838541324257
OR,88,4301090.0,0.1314,287300.0,80040.0,20.459929924740006
PA,108,12820900.0,0.1232,174100.0,81549.0,8.423745602882793
RI,4,1056160.0,0.126,249800.0,85527.0,3.7873049537948797
SC,88,5210100.0,0.1479,154800.0,70093.0,16.890270820137808
SD,17,903027.0,0.1253,159100.0,73768.0,18.82557221434132
TN,139,6897580.0,0.1517,158600.0,71458.0,20.15199533749518
TX,481,29472300.0,0.14300000000000002,161700.0,84221.0,16.32040933350977
UT,60,3282120.0,0.0944,256700.0,87053.0,18.280867244342073
VA,95,8626210.0,0.1036,264900.0,98000.0,11.012947748779592
VT,9,628061.0,0.1067,223700.0,78472.0,14.329818281982163
WA,152,7797100.0,0.1054,311700.0,93847.0,19.49442741532108
WI,91,5851750.0,0.1142,173600.0,77687.0,15.550903575853377
WV,54,1778070.0,0.1774,115000.0,61225.0,30.370007929946514
WY,14,567025.0,0.1117,213300.0,79257.0,24.690269388474935
