state,Pop,Poverty Rate ,Median Home Value ,Mean Household Income 
AK,734002,0.1061,265200,96499
TX,29472300,0.14300000000000002,161700,84221
CA,39937500,0.1374,475900,101493
MT,1086760,0.128,219600,70959
NM,2096640,0.1957,166800,66565
AZ,7378490,0.14800000000000002,209600,77221
NV,3139660,0.1253,242400,77319
CO,5845530,0.10099999999999999,313600,92520
OR,4301090,0.1314,287300,80040
WY,567025,0.1117,213300,79257
MI,10045000,0.145,146200,75352
MN,5700670,0.096,211800,90600
UT,3282120,0.0944,256700,87053
ID,1826160,0.1253,192300,70620
KS,2910360,0.1204,145400,77509
NE,1952570,0.1095,147800,77278
SD,903027,0.1253,159100,73768
WA,7797100,0.1054,311700,93847
ND,761723,0.1041,185000,84043
OK,3954820,0.1537,130900,70262
MO,6169270,0.1358,151600,73145
FL,21993000,0.1357,196800,76652
WI,5851750,0.1142,173600,77687
GA,10736100,0.1497,166800,78574
IL,12659700,0.1292,187200,88857
IA,3179850,0.1112,142300,75951
NY,19440500,0.1439,302200,97424
NC,10611900,0.1436,165900,73753
AR,3039000,0.1679,123300,64272
AL,4908620,0.16899999999999998,137200,67243
LA,4645180,0.1891,157800,68823
MS,2989260,0.2006,114500,60640
PA,12820900,0.1232,174100,81549
OH,11747700,0.1401,140000,74109
VA,8626210,0.1036,264900,98000
TN,6897580,0.1517,158600,71458
KY,4499690,0.1716,135300,67110
IN,6745350,0.1347,135400,71912
ME,1345790,0.1202,184500,73210
SC,5210100,0.1479,154800,70093
WV,1778070,0.1774,115000,61225
MD,6083120,0.091,305500,107482
HI,1412690,0.0973,587700,99765
MA,6976600,0.1018,366800,106627
VT,628061,0.1067,223700,78472
NH,1371250,0.0746,252800,95876
NJ,8936570,0.1012,327900,110140
CT,3563080,0.0978,272700,109693
,3032160,0.4931,113500,32190
DE,982895,0.1117,244700,86962
RI,1056160,0.126,249800,85527
,720687,0.1519,568400,121698
